Title,Author,Rating
For Whom the Bell Tolls,Ernest Hemingway,"3.99 avg rating — 312,419 ratings"
The Complete Sherlock Holmes,Arthur Conan Doyle,"4.51 avg rating — 214,765 ratings"
Island of the Blue Dolphins,Scott O'Dell,"3.88 avg rating — 346,361 ratings"
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 209,007 ratings"
Othello,William Shakespeare,"3.89 avg rating — 429,169 ratings"
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"3.84 avg rating — 1,161,686 ratings"
Stranger in a Strange Land,Robert A. Heinlein,"3.92 avg rating — 323,793 ratings"
"Inkheart (Inkworld, #1)",Cornelia Funke,"3.93 avg rating — 439,322 ratings"
Roots: The Saga of an American Family,Alex Haley,"4.45 avg rating — 163,746 ratings"
Into the Wild,Jon Krakauer,"4.02 avg rating — 1,169,542 ratings"
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,"4.01 avg rating — 1,639,651 ratings"
"Wonder (Wonder, #1)",R.J. Palacio,"4.36 avg rating — 1,173,270 ratings"
"Neverwhere (London Below, #1)",Neil Gaiman,"4.16 avg rating — 556,365 ratings"
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"4.24 avg rating — 767,457 ratings"
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,"4.11 avg rating — 213,161 ratings"
The Things They Carried,Tim O'Brien,"4.14 avg rating — 338,443 ratings"
King Lear,William Shakespeare,"3.91 avg rating — 233,388 ratings"
Never Let Me Go,Kazuo Ishiguro,"3.85 avg rating — 819,495 ratings"
East of Eden,John Steinbeck,"4.43 avg rating — 607,209 ratings"
"Ready Player One (Ready Player One, #1)",Ernest Cline,"4.23 avg rating — 1,271,447 ratings"
"Delirium (Delirium, #1)",Lauren Oliver,"3.95 avg rating — 477,095 ratings"
White Oleander,Janet Fitch,"really liked it4.00 avg rating — 363,830 ratings"
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"really liked it4.00 avg rating — 704,600 ratings"
"Foundation (Foundation, #1)",Isaac Asimov,"4.17 avg rating — 583,067 ratings"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"4.16 avg rating — 3,924,430 ratings"
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"4.49 avg rating — 908,066 ratings"
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"4.47 avg rating — 661,176 ratings"
Uncle Tom’s Cabin,Harriet Beecher Stowe,"3.92 avg rating — 239,906 ratings"
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,"3.98 avg rating — 11,908 ratings"
All the Light We Cannot See,Anthony Doerr,"4.31 avg rating — 1,914,332 ratings"
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"4.40 avg rating — 653,759 ratings"
Midnight Sun [2008 Draft],Stephenie Meyer,"4.01 avg rating — 148,861 ratings"
James and the Giant Peach,Roald Dahl,"4.04 avg rating — 507,268 ratings"
"The Once and Future King (The Once and Future King, #1-5)",T.H. White,"4.07 avg rating — 116,666 ratings"
I Know This Much Is True,Wally Lamb,"4.21 avg rating — 321,596 ratings"
The Martian,Andy Weir,"4.42 avg rating — 1,245,574 ratings"
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,"4.35 avg rating — 155,770 ratings"
Paradise Lost,John Milton,"3.85 avg rating — 178,472 ratings"
Candide,Voltaire,"3.76 avg rating — 295,506 ratings"
The Time Machine,H.G. Wells,"3.89 avg rating — 554,514 ratings"
The Complete Works,William Shakespeare,"4.48 avg rating — 57,576 ratings"
Invisible Man,Ralph Ellison,"3.92 avg rating — 199,211 ratings"
"Me Before You (Me Before You, #1)",Jojo Moyes,"4.26 avg rating — 1,767,685 ratings"
"Heidi (Heidi, #1-2)",Johanna Spyri,"4.04 avg rating — 209,103 ratings"
Flow Down Like Silver,Ki Longfellow,"4.01 avg rating — 4,509 ratings"
The Historian,Elizabeth Kostova,"3.80 avg rating — 273,956 ratings"
The Thirteenth Tale,Diane Setterfield,"3.98 avg rating — 323,507 ratings"
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"4.55 avg rating — 606,628 ratings"
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,"4.23 avg rating — 180,050 ratings"
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.29 avg rating — 1,652,459 ratings"
Hamlet,William Shakespeare,"4.03 avg rating — 1,023,838 ratings"
Leaves of Grass,Walt Whitman,"4.11 avg rating — 114,934 ratings"
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,"4.21 avg rating — 560,393 ratings"
"Are You There God? It’s Me, Margaret",Judy Blume,"3.95 avg rating — 252,696 ratings"
"Walden or, Life in the Woods",Henry David Thoreau,"3.78 avg rating — 201,399 ratings"
"Graceling (Graceling Realm, #1)",Kristin Cashore,"4.06 avg rating — 477,268 ratings"
Different Seasons,Stephen        King,"4.36 avg rating — 217,674 ratings"
The Complete Maus,Art Spiegelman,"4.58 avg rating — 246,777 ratings"
The Cider House Rules,John Irving,"4.17 avg rating — 193,091 ratings"
Mrs. Dalloway,Virginia Woolf,"3.78 avg rating — 343,861 ratings"
Fangirl,Rainbow Rowell,"3.94 avg rating — 773,609 ratings"
"Legend (Legend, #1)",Marie Lu,"4.15 avg rating — 557,297 ratings"
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"4.28 avg rating — 322,227 ratings"
Sophie’s World,Jostein Gaarder,"3.97 avg rating — 276,231 ratings"
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"4.13 avg rating — 377,860 ratings"
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"4.45 avg rating — 638,699 ratings"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"4.09 avg rating — 498,192 ratings"
The Awakening,Kate Chopin,"3.69 avg rating — 223,176 ratings"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"4.29 avg rating — 665,287 ratings"
The Graveyard Book,Neil Gaiman,"4.16 avg rating — 561,492 ratings"
Black Beauty,Anna Sewell,"really liked it4.00 avg rating — 294,586 ratings"
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"4.58 avg rating — 3,197,641 ratings"
Stardust,Neil Gaiman,"4.10 avg rating — 476,882 ratings"
Middlemarch,George Eliot,"4.03 avg rating — 175,581 ratings"
The Monster at the End of this Book,Jon Stone,"4.46 avg rating — 126,545 ratings"
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,"3.83 avg rating — 963,445 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"3.74 avg rating — 404,364 ratings"
Sophie’s Choice,William Styron,"4.17 avg rating — 93,730 ratings"
The Prince of Tides,Pat Conroy,"4.26 avg rating — 214,331 ratings"
A Little Life,Hanya Yanagihara,"4.29 avg rating — 869,930 ratings"
Number the Stars,Lois Lowry,"4.19 avg rating — 610,003 ratings"
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"3.97 avg rating — 556,938 ratings"
"A Time to Kill (Jake Brigance, #1)",John Grisham,"4.12 avg rating — 821,088 ratings"
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,"3.81 avg rating — 1,014,451 ratings"
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,"4.05 avg rating — 590,341 ratings"
The Art of Racing in the Rain,Garth Stein,"4.23 avg rating — 546,896 ratings"
V for Vendetta,Alan             Moore,"4.26 avg rating — 321,422 ratings"
Eleanor & Park,Rainbow Rowell,"3.93 avg rating — 1,243,161 ratings"
War and Peace,Leo Tolstoy,"4.17 avg rating — 358,138 ratings"
Beowulf,Unknown,"3.50 avg rating — 338,950 ratings"
White Fang,Jack London,"4.05 avg rating — 281,188 ratings"
American Psycho,Bret Easton Ellis,"3.80 avg rating — 350,866 ratings"
Franny and Zooey,J.D. Salinger,"3.96 avg rating — 235,968 ratings"
The Witches,Roald Dahl,"4.18 avg rating — 421,380 ratings"
"Allegiant (Divergent, #3)",Veronica Roth,"3.60 avg rating — 1,125,398 ratings"
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,"4.73 avg rating — 299,984 ratings"
Love You Forever,Robert Munsch,"4.38 avg rating — 245,419 ratings"
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"4.57 avg rating — 470,822 ratings"
A Short History of Nearly Everything,Bill Bryson,"4.22 avg rating — 414,067 ratings"
"The Gunslinger (The Dark Tower, #1)",Stephen        King,"3.91 avg rating — 651,980 ratings"
"If I Stay (If I Stay, #1)",Gayle Forman,"3.91 avg rating — 957,453 ratings"
The Complete Novels,Jane Austen,"4.57 avg rating — 33,849 ratings"
"The Power of One (The Power of One, #1)",Bryce Courtenay,"4.36 avg rating — 93,278 ratings"
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"4.19 avg rating — 578,173 ratings"
Gulliver’s Travels,Jonathan Swift,"3.59 avg rating — 294,602 ratings"
Tuck Everlasting,Natalie Babbitt,"3.91 avg rating — 290,401 ratings"
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"4.10 avg rating — 4,432,366 ratings"
11/22/63,Stephen        King,"4.35 avg rating — 618,636 ratings"
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,"4.45 avg rating — 1,428,681 ratings"
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,"4.14 avg rating — 455,807 ratings"
The Grapes of Wrath,John Steinbeck,"4.02 avg rating — 974,562 ratings"
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"3.83 avg rating — 903,511 ratings"
’Salem’s Lot,Stephen        King,"4.10 avg rating — 639,364 ratings"
Inferno,Dante Alighieri,"4.03 avg rating — 201,347 ratings"
Bel Canto,Ann Patchett,"3.94 avg rating — 313,931 ratings"
A Portrait of the Artist as a Young Man,James Joyce,"3.64 avg rating — 161,466 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.64 avg rating — 2,989,330 ratings"
Cloud Atlas,David Mitchell,"4.01 avg rating — 263,454 ratings"
القرآن الكريم,Anonymous,"4.38 avg rating — 71,447 ratings"
Cold Mountain,Charles Frazier,"3.89 avg rating — 248,395 ratings"
As I Lay Dying,William Faulkner,"3.72 avg rating — 183,112 ratings"
Tao Te Ching,Lao Tzu,"4.29 avg rating — 177,879 ratings"
The Hunchback of Notre-Dame,Victor Hugo,"4.02 avg rating — 214,092 ratings"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"3.83 avg rating — 644,875 ratings"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"4.19 avg rating — 243,798 ratings"
Go Ask Alice,Beatrice Sparks,"3.74 avg rating — 289,165 ratings"
Where the Crawdads Sing,Delia Owens,"4.37 avg rating — 3,500,254 ratings"
Mansfield Park,Jane Austen,"3.86 avg rating — 372,903 ratings"
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"4.05 avg rating — 482,580 ratings"
The Martian Chronicles,Ray Bradbury,"4.16 avg rating — 280,533 ratings"
A Separate Peace,John Knowles,"3.60 avg rating — 229,823 ratings"
The BFG,Roald Dahl,"4.23 avg rating — 517,640 ratings"
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,"4.16 avg rating — 351,440 ratings"
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"4.11 avg rating — 407,238 ratings"
Circe,Madeline Miller,"4.22 avg rating — 1,287,785 ratings"
Steppenwolf,Hermann Hesse,"4.13 avg rating — 208,025 ratings"
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,"3.77 avg rating — 617,453 ratings"
"Red Queen (Red Queen, #1)",Victoria Aveyard,"3.98 avg rating — 1,138,614 ratings"
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"4.16 avg rating — 206,732 ratings"
Robinson Crusoe,Daniel Defoe,"3.68 avg rating — 325,970 ratings"
"Obsidian (Lux, #1)",Jennifer L. Armentrout,"4.13 avg rating — 293,729 ratings"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"3.92 avg rating — 1,339,924 ratings"
"Stargirl (Stargirl, #1)",Jerry Spinelli,"3.77 avg rating — 334,480 ratings"
The Remains of the Day,Kazuo Ishiguro,"4.14 avg rating — 346,329 ratings"
Room,Emma Donoghue,"4.08 avg rating — 827,263 ratings"
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"4.18 avg rating — 210,260 ratings"
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"4.11 avg rating — 377,421 ratings"
The Invisible Life of Addie LaRue,V.E. Schwab,"4.17 avg rating — 1,407,049 ratings"
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,"4.38 avg rating — 409,919 ratings"
Coraline,Neil Gaiman,"4.13 avg rating — 763,109 ratings"
Doctor Zhivago,Boris Pasternak,"4.01 avg rating — 101,392 ratings"
زندگی مه آلود پریا,سید مرتضی مصطفوی,"3.34 avg rating — 1,031 ratings"
The Plague,Albert Camus,"4.02 avg rating — 302,304 ratings"
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"3.78 avg rating — 242,017 ratings"
Dear John,Nicholas Sparks,"4.04 avg rating — 614,729 ratings"
The Firm,John Grisham,"4.06 avg rating — 635,356 ratings"
The English Patient,Michael Ondaatje,"3.86 avg rating — 137,715 ratings"
Hidden Pictures,Jason Rekulak,"4.15 avg rating — 516,019 ratings"
Midnight’s Children,Salman Rushdie,"3.98 avg rating — 131,005 ratings"
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,"4.36 avg rating — 1,617,099 ratings"
The Last Song,Nicholas Sparks,"4.16 avg rating — 568,811 ratings"
All the Bright Places,Jennifer Niven,"4.11 avg rating — 617,504 ratings"
Like Water for Chocolate,Laura Esquivel,"3.95 avg rating — 388,453 ratings"
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,"3.98 avg rating — 335,166 ratings"
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,"4.34 avg rating — 379,253 ratings"
Midnight in the Garden of Good and Evil,John Berendt,"3.92 avg rating — 290,130 ratings"
A Streetcar Named Desire,Tennessee Williams,"3.98 avg rating — 329,686 ratings"
"The One (The Selection, #3)",Kiera Cass,"4.14 avg rating — 761,188 ratings"
My Ántonia,Willa Cather,"3.84 avg rating — 145,231 ratings"
The Virgin Suicides,Jeffrey Eugenides,"3.78 avg rating — 398,086 ratings"
The Nightingale,Kristin Hannah,"4.64 avg rating — 1,925,401 ratings"
"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"4.62 avg rating — 1,282,532 ratings"
Breakfast at Tiffany’s and Three Stories,Truman Capote,"3.83 avg rating — 287,435 ratings"
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,"4.15 avg rating — 454,115 ratings"
The Prince,Niccolò Machiavelli,"3.84 avg rating — 373,062 ratings"
Breakfast of Champions,Kurt Vonnegut Jr.,"4.06 avg rating — 275,773 ratings"
The Origin of Species,Charles Darwin,"4.01 avg rating — 120,437 ratings"
A Fine Balance,Rohinton Mistry,"4.38 avg rating — 157,313 ratings"
"Red, White & Royal Blue",Casey McQuiston,"4.06 avg rating — 1,185,192 ratings"
"Hopeless (Hopeless, #1)",Colleen Hoover,"4.23 avg rating — 663,663 ratings"
"The Hate U Give (The Hate U Give, #1)",Angie Thomas,"4.46 avg rating — 990,273 ratings"
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,"3.99 avg rating — 382,373 ratings"
A Feast for Crows,George R.R. Martin,"4.17 avg rating — 779,197 ratings"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"4.39 avg rating — 991,465 ratings"
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,"3.85 avg rating — 233,051 ratings"
Persuasion,Jane Austen,"4.15 avg rating — 755,502 ratings"
Local Woman Missing,Mary Kubica,"4.12 avg rating — 697,283 ratings"
Infinite Jest,David Foster Wallace,"4.25 avg rating — 99,048 ratings"
We Were Liars,E. Lockhart,"3.65 avg rating — 1,325,814 ratings"
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,"4.15 avg rating — 207,258 ratings"
"The Host (The Host, #1)",Stephenie Meyer,"3.86 avg rating — 1,041,257 ratings"
Death of a Salesman,Arthur Miller,"3.58 avg rating — 253,564 ratings"
Carrie,Stephen        King,"3.99 avg rating — 817,332 ratings"
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"4.13 avg rating — 1,013,077 ratings"
"Evermore (The Immortals, #1)",Alyson Noel,"3.60 avg rating — 297,349 ratings"
The Scarlet Pimpernel,Emmuska Orczy,"4.07 avg rating — 140,291 ratings"
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"4.30 avg rating — 570,790 ratings"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"really liked it4.00 avg rating — 742,538 ratings"
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,"4.05 avg rating — 395,905 ratings"
Jonathan Strange & Mr Norrell,Susanna Clarke,"3.87 avg rating — 250,578 ratings"
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"3.86 avg rating — 559,123 ratings"
Sharp Objects,Gillian Flynn,"4.01 avg rating — 1,185,533 ratings"
"Sheever's Journal, Diary of a Poison Master",K.  Ritz,"4.30 avg rating — 28,149 ratings"
Snow Flower and the Secret Fan,Lisa See,"4.09 avg rating — 383,482 ratings"
"Faust, First Part",Johann Wolfgang von Goethe,"3.83 avg rating — 84,362 ratings"
Northanger Abbey,Jane Austen,"3.85 avg rating — 441,066 ratings"
"Matched (Matched, #1)",Ally Condie,"3.62 avg rating — 810,312 ratings"
"The Angel Experiment (Maximum Ride, #1)",James  Patterson,"4.07 avg rating — 232,178 ratings"
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,"3.96 avg rating — 463,146 ratings"
Night,Elie Wiesel,"4.38 avg rating — 1,338,064 ratings"
High Fidelity,Nick Hornby,"3.90 avg rating — 212,359 ratings"
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,"4.03 avg rating — 507,957 ratings"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"4.47 avg rating — 2,516,963 ratings"
Waiting for Godot,Samuel Beckett,"3.84 avg rating — 217,826 ratings"
The Haunting of Hill House,Shirley Jackson,"3.81 avg rating — 367,924 ratings"
The Shipping News,Annie Proulx,"3.88 avg rating — 151,049 ratings"
"The Chosen (Reuven Malther, #1)",Chaim Potok,"4.07 avg rating — 96,431 ratings"
To the Lighthouse,Virginia Woolf,"3.81 avg rating — 208,371 ratings"
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"4.09 avg rating — 499,162 ratings"
Nineteen Minutes,Jodi Picoult,"4.17 avg rating — 411,019 ratings"
Shantaram,Gregory David Roberts,"4.28 avg rating — 234,100 ratings"
Emma,Jane Austen,"4.05 avg rating — 954,506 ratings"
"Neuromancer (Sprawl, #1)",William Gibson,"3.89 avg rating — 355,556 ratings"
Pet Sematary,Stephen        King,"4.08 avg rating — 672,669 ratings"
"I, Robot (Robot, #0.1)",Isaac Asimov,"4.21 avg rating — 371,159 ratings"
Houdini Heart,Ki Longfellow,"3.84 avg rating — 5,458 ratings"
The Goldfinch,Donna Tartt,"3.96 avg rating — 1,014,929 ratings"
A Christmas Carol,Charles Dickens,"4.09 avg rating — 898,891 ratings"
Redeeming Love,Francine  Rivers,"4.51 avg rating — 361,289 ratings"
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"4.34 avg rating — 727,157 ratings"
The Reader,Bernhard Schlink,"3.78 avg rating — 227,057 ratings"
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"4.58 avg rating — 1,009,544 ratings"
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,"3.76 avg rating — 641,959 ratings"
The Age of Innocence,Edith Wharton,"3.97 avg rating — 190,755 ratings"
Dubliners,James Joyce,"3.84 avg rating — 170,908 ratings"
The Republic,Plato,"3.97 avg rating — 221,012 ratings"
The Waste Land,T.S. Eliot,"4.11 avg rating — 58,013 ratings"
"Angels & Demons (Robert Langdon, #1)",Dan    Brown,"3.95 avg rating — 3,350,691 ratings"
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"4.02 avg rating — 560,784 ratings"
"The Wicked King (The Folk of the Air, #2)",Holly Black,"4.28 avg rating — 1,016,894 ratings"
The Twilight Collection,Stephenie Meyer,"3.82 avg rating — 47,178 ratings"
"Voyager (Outlander, #3)",Diana Gabaldon,"4.39 avg rating — 326,220 ratings"
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,"4.34 avg rating — 917,194 ratings"
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,"4.27 avg rating — 1,005,099 ratings"
The Jungle,Upton Sinclair,"3.78 avg rating — 152,614 ratings"
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,"4.43 avg rating — 187,607 ratings"
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,"3.86 avg rating — 566,205 ratings"
The Silent Patient,Alex Michaelides,"4.17 avg rating — 3,034,457 ratings"
"Betrayed (House of Night, #2)",P.C. Cast,"3.92 avg rating — 278,104 ratings"
Me Talk Pretty One Day,David Sedaris,"4.01 avg rating — 714,868 ratings"
The Pearl,John Steinbeck,"3.56 avg rating — 263,051 ratings"
Snow Falling on Cedars,David Guterson,"3.86 avg rating — 192,726 ratings"
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"4.01 avg rating — 299,153 ratings"
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"4.50 avg rating — 1,089,869 ratings"
"I, Claudius (Claudius, #1)",Robert Graves,"4.24 avg rating — 71,841 ratings"
"Untamed (House of Night, #4)",P.C. Cast,"3.94 avg rating — 243,517 ratings"
"The Exorcist (The Exorcist, #1)",William Peter Blatty,"4.21 avg rating — 260,332 ratings"
Those Empty Eyes,Charlie Donlea,"4.16 avg rating — 78,867 ratings"
Sense and Sensibility,Jane Austen,"4.09 avg rating — 1,270,561 ratings"
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"really liked it4.00 avg rating — 475,433 ratings"
Everything is Illuminated,Jonathan Safran Foer,"3.89 avg rating — 182,950 ratings"
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"4.11 avg rating — 722,834 ratings"
"The Elite (The Selection, #2)",Kiera Cass,"3.94 avg rating — 853,838 ratings"
A Room with a View,E.M. Forster,"3.89 avg rating — 198,137 ratings"
World War Z: An Oral History of the Zombie War,Max Brooks,"4.02 avg rating — 558,097 ratings"
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"4.76 avg rating — 458,226 ratings"
The War of the Worlds,H.G. Wells,"3.83 avg rating — 341,879 ratings"
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,"4.02 avg rating — 544,090 ratings"
Bleak House,Charles Dickens,"4.02 avg rating — 112,646 ratings"
"Chosen (House of Night, #3)",P.C. Cast,"3.91 avg rating — 252,983 ratings"
The Complete Poems of Emily Dickinson,Emily Dickinson,"4.28 avg rating — 105,530 ratings"
Macbeth,William Shakespeare,"3.89 avg rating — 995,852 ratings"
"Unwind (Unwind, #1)",Neal Shusterman,"4.17 avg rating — 245,318 ratings"
Brideshead Revisited,Evelyn Waugh,"really liked it4.00 avg rating — 124,113 ratings"
انتحار فاشل,أحمد جمال الدين رمضان,"4.55 avg rating — 3,301 ratings"
North and South,Elizabeth Gaskell,"4.15 avg rating — 180,090 ratings"
The Woman in White,Wilkie Collins,"4.01 avg rating — 163,135 ratings"
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"4.31 avg rating — 329,166 ratings"
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,"3.92 avg rating — 1,071,515 ratings"
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,"4.45 avg rating — 1,921,643 ratings"
The God Delusion,Richard Dawkins,"3.90 avg rating — 279,903 ratings"
What Lies in the Woods,Kate Alice Marshall,"3.95 avg rating — 186,758 ratings"
Ugly Love,Colleen Hoover,"really liked it4.00 avg rating — 2,228,141 ratings"
العصبي,أحمد جمال الدين رمضان,"4.59 avg rating — 2,882 ratings"
Of Human Bondage,W. Somerset Maugham,"4.15 avg rating — 60,521 ratings"
"The Iron King (The Iron Fey, #1)",Julie Kagawa,"3.87 avg rating — 217,673 ratings"
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"4.17 avg rating — 331,323 ratings"
The Left Hand of Darkness,Ursula K. Le Guin,"4.10 avg rating — 211,068 ratings"
"Bloodlines (Bloodlines, #1)",Richelle Mead,"4.20 avg rating — 190,218 ratings"
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,"4.10 avg rating — 122,907 ratings"
Snow Crash,Neal Stephenson,"4.01 avg rating — 294,079 ratings"
Vanity Fair,William Makepeace Thackeray,"3.81 avg rating — 132,145 ratings"
"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"4.10 avg rating — 576,453 ratings"
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"4.12 avg rating — 252,268 ratings"
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,"4.63 avg rating — 1,117,128 ratings"
Far From the Madding Crowd,Thomas Hardy,"3.97 avg rating — 163,336 ratings"
Johnny Got His Gun,Dalton Trumbo,"4.21 avg rating — 47,596 ratings"
Much Ado About Nothing,William Shakespeare,"4.06 avg rating — 255,345 ratings"
"Cannery Row (Cannery Row, #1)",John Steinbeck,"4.06 avg rating — 150,315 ratings"
Daisy Jones & The Six,Taylor Jenkins Reid,"4.20 avg rating — 1,785,408 ratings"
A Monster Calls,Patrick Ness,"4.35 avg rating — 284,953 ratings"
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"4.27 avg rating — 287,748 ratings"
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,"4.21 avg rating — 299,614 ratings"
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,"4.23 avg rating — 219,786 ratings"
A Man Called Ove,Fredrik Backman,"4.38 avg rating — 1,171,560 ratings"
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"4.43 avg rating — 856,870 ratings"
"Bared to You (Crossfire, #1)",Sylvia Day,"4.13 avg rating — 546,660 ratings"
"They Both Die at the End (They Both Die at the End, #1)",Adam Silvera,"3.75 avg rating — 844,796 ratings"
"Cry, the Beloved Country",Alan Paton,"3.92 avg rating — 78,696 ratings"
Are You My Mother?,P.D. Eastman,"4.22 avg rating — 250,604 ratings"
The Love Hypothesis,Ali Hazelwood,"4.11 avg rating — 1,732,093 ratings"
"Torment (Fallen, #2)",Lauren Kate,"3.84 avg rating — 243,463 ratings"
"Cress (The Lunar Chronicles, #3)",Marissa Meyer,"4.40 avg rating — 397,555 ratings"
The Polar Express,Chris Van Allsburg,"4.32 avg rating — 246,621 ratings"
Sarah's Key,Tatiana de Rosnay,"4.18 avg rating — 490,604 ratings"
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,"4.10 avg rating — 420,257 ratings"
I'll Give You the Sun,Jandy Nelson,"4.15 avg rating — 354,216 ratings"
Cutting for Stone,Abraham   Verghese,"4.33 avg rating — 418,830 ratings"
