Title,Author,Rating
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 11,109,578 ratings"
The Stand,Stephen        King,"4.35 avg rating — 817,121 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 875,274 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 321,176 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.35 avg rating — 812,399 ratings"
Rebecca,Daphne du Maurier,"4.25 avg rating — 701,411 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.09 avg rating — 500,146 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 859,785 ratings"
The Color Purple,Alice Walker,"4.27 avg rating — 739,433 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,134,855 ratings"
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 909,833 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 769,404 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,064,118 ratings"
My Sister’s Keeper,Jodi Picoult,"4.11 avg rating — 1,265,581 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.39 avg rating — 371,956 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,714,763 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 501,176 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it4.00 avg rating — 755,882 ratings"
The Road,Cormac McCarthy,"really liked it4.00 avg rating — 1,006,469 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.03 avg rating — 1,597,300 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.10 avg rating — 674,593 ratings"
Siddhartha,Hermann Hesse,"4.08 avg rating — 851,216 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,086,063 ratings"
